article,noun,translation,plural
DER ,SCHRANK,ARMÁRIO,
DAS,HAUS,CASA,
DAS,UFER,MARGEM,
DAS,SCHIFF,"BARCO, NAVIO",
DAS,REGAL,ESTANTE,
DER ,TEPPICH,TAPETE,
DER ,KOFFER,MALA,
DAS,AUTO,CARRO,
DIE,SCHULE,ESCOLA,
DAS,FENSTER,JANELA,
DAS,PAPIER,"PAPEL, DOCUMENTO",
DIE,MASCHINE,MÁQUINA,
DER ,OFEN,FORNO,
DER ,KELLER,PORÃO,
DIE,TÜR,PORTA,
DIE,LAMPE,LÂMPADA,
DAS,ZIMMER,CÔMODO,
DIE,STRAßE,RUA,
DIE,TASCHE,BOLSA,
DER ,BLEISTIFT,LÁPIS,
DER ,SATZ,FRASE,
DAS,WORT,PALAVRA,
DER ,ARTIKEL,ARTIGO,
DAS,SOFA,SOFÁ,
DER ,TISCH,MESA,
DIE,KAMERA,CÂMERA,
DAS,GELD,DINHEIRO,
DER ,JOB,TRABALHO,
DAS,LICHT,LUZ,
DIE,ZEITUNG,JORNAL,
DER ,WAGEN,AUTOMÓVEL,
DIE,MEINUNG,"CONCEITO, OPINIÃO",
DAS ,BILD,"IMAGEM, QUADRO",
DIE,SPRACHE,IDIOMA,
DAS,RAD,RODA,
DER ,FREUND,AMIGO,
DIE,FREUNDIN,AMIGA,
DER ,CHEF,PATRÃO,
DIE,CHEFIN,PATROA,
DIE,SCHUBLADE,GAVETA,
DAS,KOMMA,VÍRGULA,
DER ,PUNKT,PONTO,
DIE,FRAGE,PERGUNTA,
DIE,ANTWORT,RESPOSTA,
DER ,MENSCH,SER HUMANO,
DIE,PERSON,PESSOA,
DER ,KOLLEGE,O COLEGA,
DIE,KOLLEGIN,A COLEGA,
DER ,NACHBAR,VIZINHO,
DIE,NACHBARIN,VIZINHA,
DER ,ARZT,MÉDICO,
DIE,ÄRZTIN,MÉDICA,
DAS,MÄDCHEN,MENINA,
DIE,FRAU,MULHER,
DER ,GAST,"CLIENTE, CONVIDADO",
DER ,SCHÜLER,O ESTUDANTE,
DIE,SCHÜLERIN,A ESTUDANTE,
DER ,LEHRER,PROFESSOR,
DIE,LEHRERIN,PROFESSORA,
DER ,VATER,PAI,
DIE,MUTTER,MÃE,
DIE,GROßMUTTER,AVÓ,
DIE ,OMA,VÓ,
DER ,GROßVATER,AVÔ,
DER ,OPA,VÔ,
DIE,SCHWÄGERIN,CUNHADA,
DER ,SCHWAGER,CUNHADO,
DIE,STIEFTOCHTER,ENTEADA,
DER ,STIEFSOHN,ENTEADO,
DIE,STIEFKINDER,ENTEADOS,
DIE,TOCHTER,FILHA,
DER ,SOHN,FILHO,
DIE,KINDER,"FILHOS, CRIANÇAS",
DER ,SCHWIEGERSOHN,GENRO,
DIE,SCHWIEGERTOCHTER,NORA,
DIE,SCHWESTER,IRMÃ,
DER ,BRUDER,IRMÃO,
DIE,STIEFMUTTER,MADRASTA,
DER ,STIEFVATER,PADRASTO,
DIE,ELTERN,PAIS,
DIE,ENKELIN,NETA,
DER ,ENKEL ,NETO,
DIE,ENKELKINDER,NETOS,
DIE,COUSINE,PRIMA,
DER ,COUSIN,PRIMO,
DIE,NICHTE,SOBRINHA,
DER ,NEFFE,SOBRINHO,
DIE,SCHWIEGERMUTTER,SOGRA,
DER ,SCHWIEGERVATER,SOGRO,
DIE,TANTE,TIA,
DER ,ONKEL,TIO,
DAS,HEFT,CADERNO,
DER ,RADIERGUMMI,BORRACHA,
DER ,KUGELSCHREIBER,CANETA,
DER ,KULI,CANETA,
DER ,FÜLLER,CANETA TINTEIRO,
DER ,PASS,PASSAPORTE,
DIE ,BRIEFTASCHE,CARTEIRA,
DIE,FAHRKARTE,PASSAGEM,
DER ,AUSWEIS,DOCUMENTO DE IDENTIDADE,
DAS,FORMULAR,FORMULÁRIO,
DIE,BESCHEINIGUNG,ATESTADO,
DAS,VISUM,VISTO,
DIE,HOSE,CALÇA,
DAS ,HEMD,CAMISA,
DIE,BLUSE,BLUSA,
DER ,ROCK,SAIA,
DIE,SOCKE,MEIA,
DIE,JACKE,JAQUETA,
DER ,HUT,CHAPÉU,
DER ,STIEFEL,BOTAS,
DER ,GÜRTEL,CINTO,
DER ,MANTEL,SOBRETUDO,
DER ,HANDSCHUH,LUVA,
DER ,SCHAL,CACHECOL,
DIE,MÜTZE,GORRO,
DIE,KRAWATTE,GRAVATA,
DER ,SCHUH,SAPATO,
DAS,KLEID,VESTIDO,
DIE,JEANS,CALÇA JEANS,
DAS ,T-SHIRT,CAMISETA,
DER ,REGENSCHIRM,GUARDA-CHUVA,
DIE,HANDTASCHE,BOLSA,
DER ,SCHLAFANZUG,PIJAMA,
DAS,NACHTHEMD,CAMISOLA,
DIE,STRUMPFHOSE,MEIA-CALÇA,
DER ,BH,SUTIÃ,
DIE,UNTERHOSE,"CALCINHA, CUECA",
DIE,BOXERSHORTS,CUECA SAMBA-CANÇÃO,
DIE,MASCHINE,MÁQUINA,
DAS,FAHRRAD,BICICLETA,
DAS ,KIND ,CRIANÇA,
DER ,MANN,HOMEM,
DIE,FAMILIE,FAMÍLIA,
DAS,MOTORRAD,MOTO,
DER ,KÜHLSCHRANK,GELADEIRA,
DAS ,BETT,CAMA,
DER ,SESSEL,POLTRONA,
DAS,RADIO,RADIO,
DER ,STUHL,CADEIRA,
DAS,RATHAUS,PREFEITURA,
DIE,SCHULE,ESCOLA,
DIE ,KÜCHE,COZINHA,
DER ,MONAT,MÊS,
DER ,JAHR,ANO,
DER ,NAME,NOME,
DIE,KATZE,GATO,
DAS,TIER,ANIMAL,
DIE,STADT,CIDADE,
DER ,WIND,VENTO,
DER ,DIAMANT,DIAMANTE,
DER ,STURM,TEMPESTADE,
DER ,POLIZIST,O POLICIAL,
DIE,POLIZISTIN,A POLICIAL,
DER ,JANUAR,JANEIRO,
DER ,FEBRUAR,FEVEREIRO,
DER ,MÄRZ,MARÇO,
DER ,APRIL,ABRIL,
DER ,MAI,MAIO,
DER ,JUNI,JUNHO,
DER ,JULI,JULHO,
DER ,AUGUST,AGOSTO,
DER ,SEPTEMBER,SETEMBRO,
DER ,OKTOBER,OUTUBRO,
DER ,NOVEMBER,NOVEMBRO,
DER ,DEZEMBER,DEZEMBRO,
DER ,REGEN ,CHUVA,
DER ,TRAKTOR,TRATOR,
DER ,MERCEDES,MERCEDES,
DER ,LEHRLING,APRENDIZ,
DER ,METEOROLOGE,O METEOROLOGISTA,
DIE,METEOROLOGIN,A METEOROLOGISTA,
DER ,POET,O POETA,
DIE,POETIN,A POETA,
DER ,VOKAL,VOGAL,
DER ,SONNTAG,DOMINGO,
DER ,MONTAG,SEGUNDA,
DER ,DIENSTAG,TERÇA,
DER ,MITTWOCH,QUARTA,
DER ,DONNERSTAG,QUINTA,
DER ,FREITAG,SEXTA,
DER ,SAMSTAG,SÁBADO,
DAS,WOCHENENDE,FIM DE SEMANA,
DER ,FEIERTAG,FERIADO,
DIE,VERGANGENHEIT,PASSADO,
DIE,GEGENWART,PRESENTE,
DIE,ZUKUNFT,FUTURO,
DER ,SOMMER,VERÃO,
DER ,HERBST,OUTONO,
DER ,WINTER,INVERNO,
DER ,FRÜHLING,PRIMAVERA,
DER ,SCHNEE,NEVE,
DER ,SAPHIR,SAFIRA,
DER ,INGENIEUR,ENGENHEIRO,
DIE,INGENIEURIN,ENGENHEIRA,
DER ,BÄCKER,PADEIRO,
DIE,BÄCKERIN,PADEIRA,
DIE ,BÄCKEREI,PADARIA,
DER ,SPEZIALIST,O ESPECIALISTA,
DIE,SPEZIALISTIN,A ESPECIALISTA,
DER ,ORKAN,FURACÃO,
DER ,MORGEN,MANHÃ,
DER ,ABEND,"NOITE, TARDINHA",
DER ,TAG,DIA ,
DIE,NACHT ,NOITE ,
DER ,MOTOR ,MOTOR,
DIE,ROSE,ROSA,
DIE,BRILLE,ÓCULOS,
DIE,SONNENBRILLE,ÓCULOS DE SOL,
DIE,RICHNUNG,DIREÇÃO,
DIE,DISKOTHEK,DISCOTECA,
DIE,FREIHEIT,LIBERDADE,
DIE,GESELLSCHAFT,"COMPANHIA, EMPRESA, SOCIEDADE",
DIE,MIXTUR,MISTURA,
DIE,FUNKTION,FUNÇÃO,
DIE,NATIONALITÄT,NACIONALIDADE,
DIE,SCHWEINEREI,PORCARIA,
DIE,TOLERANZ,TOLERÂNCIA,
DIE,POLITIK,POLÍTICA,
DIE,EITELKEIT,VAIDADE,
DIE,PHILOSOPHIE,FOLOSOFIA,
DAS,GOLD,OURO,
DAS,SILBER,PRATA,
DAS,KUPFER,COBRE,
DAS,BROT,PÃO,
DAS,FRÄULEIN,SENHORITA,
DAS,SCHWARZ,PRETO,
DAS,KINO,CINEMA,
DAS,ROT,VERMELHO,
DAS,BLAU,AZUL,
DAS ,WEIß,BRANCO,
DAS ,GRÜN,VERDE,
DAS,GRAU,CINZA,
DAS,GELB,AMARELO,
DAS,ORANGE,LARANJA,
DAS,ROSA,ROSA,
DAS,BEIGE,BEGE,
DAS,LILA,ROXO,
DAS,BRAUN,MARROM,
DER ,NORDEN,NORTE,
DER ,SÜDEN,SUL,
DER ,OSTEN,LESTE,
DER ,WEST,OESTE,
DIE,TABLETTE,COMPRIMIDO,
DAS,WÖRTERBUCH,DICIONÁRIO,
DIE,BIBEL,BÍBLIA,
DER ,TERMINKALENDER,AGENDA,
DAS ,HANDY,CELULAR,
DIE,GELDBÖRSE,CARTEIRA,
DER ,SCHLÜSSEL,CHAVE,
DER ,LIPPENSTIFT,BATOM,
DAS,FOTO,FOTO,
DAS,PROBLEM,PROBLEMA,
DAS,HOTEL,HOTEL,
DAS ,RESTAURANT,RESTAURANTE,
DER ,IMBISS,SNACK BAR,
DIE,E-MAIL,E-MAIL,
DER ,TEXT,TEXTO,
DER ,PREIS,PREÇO,
DIE,NUMMER,NÚMERO,
DER ,KAFFEE,CAFÉ,
DER ,TEE,CHÁ,
DER ,GARTEN,JARDIM,
DER ,ROMAN,"NOVELA, ROMANCE",
DIE,ZIGARETTE,CIGARRO,
DIE,KARTE,CARTÃO,
DIE,KREDITKARTE,CARTÃO DE CRÉDITO,
DER ,DIALOG,DIÁLOGO,
DAS,GESPRÄCH,CONVERSA,
DER ,AKKUSATIV,ACUSATIVO,
DER ,NOMINATIV,NOMINATIVO,
DER ,GENITIV,GENITIVO,
DER ,DATIV,DATIVO,
DER ,KURS,CURSO,
DER ,COMPUTER,COMPUTADOR,
DER ,DRUCKER,IMPRESSORA,
DAS,DOKUMENT,DOCUMENTO,
DAS,TELEFON,TELEFONE,
DAS,FAXGERÄT,FAX,
DIE,KAFFEEMASCHINE,CAFETEIRA,
DER ,PAPIERKORB,CESTO DE PAPEL,
DER ,BILDSCHIRM,TELA COMPUTADOR,
DAS,KOPIERGERÄT,COPIADORA,
DER ,SCANNER,SCANNER,
DER ,TASCHENRECHNER,CALCULADORA,
DER ,VORNAME,NOME,
DER ,FAMILIENNAME,SOBRENOME,
DIE,MUTTERSPRACHE,LÍNGUA MATERNA,
DAS,ALPHABET,ALFABETO,
DER ,BUCHSTABE,LETRA  ,
DIE,LEUTE,"GENTE, PESSOAL, GALERA",
DAS,LAND,PAÍS,
DER ,KELLNER,GARÇOM,
DIE,KELLNERIN,GARÇONETE,
